Distribuição dos Investimento em Projetos Região NE - Ano 2017;;;
ESTADO;Instituição de Ensino, Pesquisa e Desenvolvimento;Centro ou Instituto de Pesquisa;Incubadora
AL;R$ 932.473,28;R$ 0,00;R$ 0,00
BA;R$ 2.814.895,55;R$ 16.838.001,96;R$ 0,00
CE;R$ 37.089.469,37;R$ 9.636.285,59;R$ 0,00
MA;R$ 119.191,55;R$ 0,00;R$ 0,00
PB;R$ 23.670.079,32;R$ 0,00;R$ 109.625,25
PE;R$ 45.120.618,87;R$ 82.500.537,45;R$ 0,00
PI;R$ 0,00;R$ 0,00;R$ 0,00
RN;R$ 0,00;R$ 0,00;R$ 0,00
SE;R$ 0,00;R$ 0,00;R$ 0,00
TOTAL;R$ 109.746.727,94;R$ 108.974.825,00;R$ 109.625,25
