Ano;Projeto de Lei;Dotação Inicial;Dotação Atual
2010;7.709.101.632;7.913.501.497;9.194.905.165
2011;8.936.098.765;9.038.868.765;10.445.722.262
2012;10.321.180.033;10.463.710.033;11.881.000.297
2013;10.952.443.049;11.123.224.129;13.748.063.786
2014;12.880.857.841;13.093.300.506;14.660.038.500
2015;14.282.651.308;14.587.778.210;15.822.889.775
2016;15.060.045.266;14.925.038.334;16.353.027.048
2017;16.177.721.386;16.290.419.627;17.074.407.920
2018;16.703.927.868;16.910.618.687;17.538.217.515
2019;17.530.877.086;17.765.944.270;18.482.198.059
2020;14.572.996.890;14.107.527.309;17.507.615.907
;;;
Status da Seleção:;;;
Ano: 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020;;;
Órgão Orçamentário: 26000 - Ministério da Educação;;;
Unidade Orçamentária: 26231 - Universidade Federal de Alagoas, 26232 - Universidade Federal da Bahia, 26233 - Universidade Federal do Ceará, 26238 - Universidade Federal de Minas Gerais, 26239 - Universidade Federal do Pará, 26240 - Universidade Federal da Paraíba, 26242 - Universidade Federal de Pernambuco, 26244 - Universidade Federal do Rio Grande do Sul, 26245 - Universidade Federal do Rio de Janeiro, 26246 - Universidade Federal de Santa Catarina, 26247 - Universidade Federal de Santa Maria, 26252 - Universidade Federal de Campina Grande, 26258 - Universidade Tecnológica Federal do Paraná, 26261 - Universidade Federal de Itajubá, 26271 - Fundação Universidade de Brasília, 26272 - Fundação Universidade Federal do Maranhão, 26405 - Instituto Federal do Ceará, 26417 - Instituto Federal da Paraíba, 26427 - Instituto Federal da Bahia;;;
Esfera: 10 - Orçamento Fiscal;;;
